C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,GY
50,6.2,36.3,7.6,6.3,0.22,750,0,Ofite,bubbling fluidised bed,1.66
50,6.2,36.3,7.6,6.3,0.23,760,0,Ofite,bubbling fluidised bed,1.6
50,6.2,36.3,7.6,6.3,0.29,780,0,Ofite,bubbling fluidised bed,2.01
50,6.2,36.3,7.6,6.3,0.31,820,0,Ofite,bubbling fluidised bed,1.96
37.6,5.42,33.2,9.08,23.4,0.25,665,0,Alumina,fluidised bed,2.15
37.6,5.42,33.2,9.08,23.4,0.3,744,0,Alumina,fluidised bed,2.48
37.6,5.42,33.2,9.08,23.4,0.35,670,0,Alumina,fluidised bed,2.14
37.6,5.42,33.2,9.08,23.4,0.3,750,0,Alumina,fluidised bed,2.46
37.6,5.42,33.2,9.08,23.4,0.35,822,0,Alumina,fluidised bed,2.83
37.6,5.42,33.2,9.08,23.4,0.35,700,0,Alumina,fluidised bed,1.87
37.6,5.42,33.2,9.08,23.4,0.35,828,0,Alumina,fluidised bed,2.44
49,6.1,44.4,7,0.4,0.21,700,0,Alumina,fluidised bed,0.69
49,6.1,44.4,7,0.4,0.21,700,0,Alumina,fluidised bed,0.96
49,6.1,44.4,7,0.4,0.21,700,0,Alumina,fluidised bed,0.94
49,6.1,44.4,7,0.4,0.24,750,0,Alumina,fluidised bed,1.05
49,6.1,44.4,7,0.4,0.24,750,0,Alumina,fluidised bed,1.06
49,6.1,44.4,7,0.4,0.23,800,0,Alumina,fluidised bed,1.12
49,6.1,44.4,7,0.4,0.23,800,0,Alumina,fluidised bed,1.09
48.11,5.58,39.42,7.03,6.1,0.3,826,0,Silica sand,fluidised bed,2.17
48.11,5.58,39.42,7.03,6.1,0.29,874,0,Silica sand,fluidised bed,2.17
48.91,5.9,33.08,9.69,11.37,0.2,700,0,Olivine,bubbling fluidised bed,1.82
48.91,5.9,33.08,9.69,11.37,0.2,760,0,Olivine,bubbling fluidised bed,1.9
37.02,4.64,38.01,9.5,0.88,0.38,761,0,Silica sand,bubbling fluidised bed,2.1
40.9,5.13,42,18.1,0.98,0.38,730,0,Silica sand,bubbling fluidised bed,2.04
44.97,5.64,46.17,25.5,1.07,0.38,699,0,Silica sand,bubbling fluidised bed,2.02
45.89,1.61,51.26,27,1.1,0.36,704,0,Silica sand,bubbling fluidised bed,1.9
45.89,1.61,51.26,27,1.1,0.45,738,0,Silica sand,bubbling fluidised bed,2.18
45.89,1.61,51.26,27,1.1,0.49,765,0,Silica sand,bubbling fluidised bed,2.45
50.13,2.47,45.15,24.4,1.59,0.3,726,0,Silica sand,bubbling fluidised bed,1.86
50.13,2.47,45.15,24.4,1.59,0.38,767,0,Silica sand,bubbling fluidised bed,2.3
50.13,2.47,45.15,24.4,1.59,0.46,807,0,Silica sand,bubbling fluidised bed,2.74
54.22,3.27,39.3,21.8,2.05,0.3,747,0,Silica sand,bubbling fluidised bed,2.14
54.22,3.27,39.3,21.8,2.05,0.34,769,0,Silica sand,bubbling fluidised bed,2.35
54.22,3.27,39.3,21.8,2.05,0.38,780,0,Silica sand,bubbling fluidised bed,2.66
54.22,3.27,39.3,21.8,2.05,0.45,829,0,Silica sand,bubbling fluidised bed,3
46,6,37.3,8.1,9.63,0.3,750,0,Olivine,circulating fluidized bed,2.38
46,6,37.3,8.1,9.63,0.3,800,0,Olivine,circulating fluidized bed,2.5
46,6,37.3,8.1,9.63,0.3,750,0,Silica sand,circulating fluidized bed,2.22
48.6,6.63,39.3,8.2,2.39,0.3,750,0,Olivine,circulating fluidized bed,2.53
48.6,6.63,39.3,8.2,2.39,0.3,800,0,Olivine,circulating fluidized bed,2.63
48.6,6.63,39.3,8.2,2.39,0.3,750,0,Silica sand,circulating fluidized bed,2.26
48.6,6.63,39.3,8.2,2.39,0.3,800,0,Silica sand,circulating fluidized bed,2.28
38.43,2.97,36.36,9.95,19.52,0.3,750,1,Silica sand,bubbling fluidised bed,1.09
38.43,2.97,36.36,9.95,19.52,0.3,750,1.32,Silica sand,bubbling fluidised bed,1.16
