C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material_10 % dolomite 90 % Silica sand ,Bed_material_20 % dolomite 80 % Silica sand ,Bed_material_30 % dolomite 70 % Silica sand ,Bed_material_310S,Bed_material_Alumina,Bed_material_Calcined dolomite and nickel based catalysts,Bed_material_Ofite,Bed_material_Olivine,Bed_material_Silica sand,Bed_material_dolomite,"床型_atmospheric pressure, indirectly heated, fluidized bed",床型_bubbling fluidised bed,床型_circulating fluidized bed,床型_continuous fluidized bed,床型_fluidised bed
50.54,7.08,41.11,8.0,0.55,0.25,800,1.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.27,800,1.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.22,800,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.22,800,1.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.22,800,2.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.22,800,4.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.12,6.68,43.06,113.0,1.4,0.26,760,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50.12,6.68,43.06,113.0,1.4,0.26,760,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.12,6.68,43.06,113.0,1.4,0.26,760,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50.12,6.68,43.06,113.0,1.4,0.26,760,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
51.26,5.54,42.29,8.0,0.5,0.3,650,0.85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51.26,5.54,42.29,8.0,0.5,0.3,700,0.85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51.26,5.54,42.29,8.0,0.5,0.3,800,0.85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51.26,5.54,42.29,8.0,0.5,0.3,850,0.85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46.67,5.48,45.82,10.4,7.9,0.36,740,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46.67,5.48,45.82,10.4,7.9,0.36,700,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
49.7,5.64,44.21,10.3,1.2,0.36,700,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
48.19,5.56,45.01,10.35,4.55,0.36,740,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
48.19,5.56,45.01,10.35,4.55,0.36,700,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
65.25,9.1,20.74,3.82,4.23,0.2,600,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.2,800,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.2,900,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.3,600,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.3,700,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.3,900,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.4,600,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.4,700,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.4,800,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.5,600,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
